study_id,instance,initial_3hb_ratio,initial_3hv_ratio,initial_mcl_pha_ratio,3hhp_ratio,3ho_ratio,3hdd_ratio,3httd_ratio,unsaturated_monomer_ratio,uknown_monomer_ratio,additive,additive1_type,additive1_percentage,additive2_type,additive2_percentage,frequency_experimental_fixed_hz,temperature,loss_modulus,log_loss_modulus
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,100.0,1220.086,3.086390443796957
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,105.0,918.996,2.963313621090455
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,110.0,669.939,2.826035260656876
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,115.0,556.624,2.74556192791045
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,120.0,452.503,2.65562146283211
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,125.0,388.463,2.5893496597879895
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,130.0,322.757,2.508875670081468
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,135.0,271.104,2.4331359254193345
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,140.0,222.807,2.347928831087048
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,145.0,195.49,2.291124546612215
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,150.0,171.522,2.2343198320512707
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,155.0,150.493,2.177516299716742
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,160.0,126.408,2.101774560069087
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,165.0,113.354,2.054436849978873
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,170.0,98.378,1.9928979892154568
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,175.0,86.317,1.936096337767455
7,1,72.9,13.1,14.0,14.0,0.0,0,0,0,0.0,no,not_applicable,0.0,not_applicable,0.0,1.0,180.0,74.101,1.8698240688639634
7,2,0.0,0.0,100.0,100.0,0.0,0,0,0,0.0,yes,polymer_matrix_blend,71.5,blend,12.7,1.0,100.0,7039.366,3.847533546201698
7,2,0.0,0.0,100.0,100.0,0.0,0,0,0,0.0,yes,polymer_matrix_blend,71.5,blend,12.7,1.0,105.0,4244.266,3.6278025945299763
7,2,0.0,0.0,100.0,100.0,0.0,0,0,0,0.0,yes,polymer_matrix_blend,71.5,blend,12.7,1.0,110.0,2722.561,3.4349776190675234
