study_id,instance,3hb_ratio_mol,3ho_ratio_mol,3hdd_ratio_mol,3httd_ratio_mol,unsaturated_monomer_ratio_mol,uknown_monomer_ratio_mol,additive1_percentage_wt,additive1_type,final_pha_percentage_wt,frequency_experimental_fixed_hz,temperature,storage_modulus,log_storage_modulus
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-123.0,1909.8532585662465,3.281000000000002
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-123.0,1435.48943335366,3.1570000000000014
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-115.0,1782.3787674480916,3.2510000000000003
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-115.0,1402.8137045619621,3.147000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-105.0,1737.8008287493824,3.2400000000000015
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-105.0,1358.3134465871544,3.133
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-95.0,1621.8100973589371,3.2100000000000017
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-95.0,1339.676687425939,3.127000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-85.0,1513.56124843621,3.1800000000000006
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-85.0,1288.2495516931363,3.1100000000000008
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-75.0,1432.1878992735465,3.156000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-75.0,1250.2590302177198,3.097
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-65.0,1374.0419750125152,3.138
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-65.0,1202.2644346174154,3.080000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-55.0,1282.3305826560265,3.108000000000002
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-55.0,1114.294533591734,3.0470000000000015
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-45.0,1056.8175092136566,3.023999999999999
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-45.0,1023.292992280757,3.010000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-35.0,509.3308710571972,2.7070000000000016
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-35.0,707.9457843841385,2.8500000000000005
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-25.0,16.904409316432652,1.2280000000000002
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-25.0,186.2087136662866,2.2699999999999996
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-15.0,1.492794409579,0.17400000000000113
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-15.0,109.64781961431865,2.0400000000000005
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-5.0,0.7481695005111543,-0.12600000000000003
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,-5.0,85.70378452303704,1.9330000000000005
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,5.0,0.4819477976251279,-0.3169999999999995
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,5.0,75.3355563733718,1.8770000000000004
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,15.0,0.381065823393774,-0.41899999999999893
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,15.0,68.7068440014233,1.8370000000000006
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,25.0,0.30974192992165794,-0.5090000000000001
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,25.0,62.66138646723363,1.7970000000000006
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,35.0,55.335010921573826,1.7430000000000012
3,1,0.0,86.0,0,0,0,14,0.0,no_additive,100.0,1.0,45.0,43.35108783875287,1.6369999999999998
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-123.0,1963.360276836044,3.2929999999999993
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-123.0,1621.8100973589371,3.2100000000000017
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-115.0,1990.6733389871852,3.2989999999999995
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-115.0,1595.8791472367318,3.203
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-105.0,1857.804455091704,3.2690000000000015
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-105.0,1548.816618912483,3.1900000000000004
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-95.0,1621.8100973589371,3.2100000000000017
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-95.0,1479.1083881682093,3.1700000000000004
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-85.0,1667.2472125510665,3.222000000000001
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-85.0,1422.3287871228247,3.1530000000000014
3,2,0.0,86.0,0,0,0,14,1.0,reinforcment_and_stiffening_modifiers,99.0,1.0,-75.0,1644.371723214934,3.2160000000000006
