temperature,study_id,instance,mw_phbv,additive1_type,additive1_percentage,additive2_type,additive2_percentage,hb_ratio_formulation,hv_ratio_formulation,loss_modulus,log_loss_modulus,log_mw
-12.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,436.8937798166658,2.640375861577207,5.690196080028514
0.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,406.8541907767104,2.609438793778423,5.690196080028514
12.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,365.762765488014,2.563199492375631,5.690196080028514
25.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,306.683928764705,2.486691018135466,5.690196080028514
37.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,217.67894162802085,2.3378164172032165,5.690196080028514
50.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,146.8497364893549,2.1668731715512144,5.690196080028514
62.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,120.04096279213033,2.0793294700386578,5.690196080028514
75.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,108.16966255651099,2.034105474895091,5.690196080028514
87.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,91.41030230873564,1.9609951452271912,5.690196080028514
100.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,74.13557685102667,1.8700266711662266,5.690196080028514
112.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,60.21592886461461,1.7797113899777977,5.690196080028514
125.0,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,45.87499687783586,1.661576047702899,5.690196080028514
137.5,8,1,490000.0,plasticizer_modifier,10.0,not_applicable,0.0,90.0,0.0,35.09062601470326,1.545191116072519,5.690196080028514
-12.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,459.8862283425885,2.662650404476469,5.690196080028514
0.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,430.4194523307989,2.6338918905603386,5.690196080028514
12.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,382.5575102615119,2.582696732330866,5.690196080028514
25.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,329.0569399462147,2.517271054681866,5.690196080028514
37.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,245.05574103522582,2.3892648813873665,5.690196080028514
50.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,173.58357824975613,2.2395086366650325,5.690196080028514
62.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,145.67101549425908,2.1633731477676967,5.690196080028514
75.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,124.12808365734415,2.0938700506171033,5.690196080028514
87.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,99.46486108451445,1.99766968041995,5.690196080028514
100.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,79.32419718755428,1.8994056854521915,5.690196080028514
112.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,66.10620353179186,1.8202422164176981,5.690196080028514
125.0,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,57.08231689548653,1.7565015922370069,5.690196080028514
137.5,8,2,490000.0,plasticizer_modifier,10.0,reinforcement,5.0,85.0,0.0,48.03470181252019,1.68155509905394,5.690196080028514
-12.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,404.2861067863353,2.6066888171444496,5.690196080028514
0.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,386.284125252895,2.5869068607289987,5.690196080028514
12.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,383.73373352538033,2.584029979130465,5.690196080028514
25.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,343.1691213814115,2.5355082027868563,5.690196080028514
37.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,281.0176589597779,2.44873361153433,5.690196080028514
50.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,204.15518404116185,2.309960412286867,5.690196080028514
62.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,169.90941561415,2.230217446179027,5.690196080028514
75.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,172.13260455086603,2.2358631401438482,5.690196080028514
87.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,157.7042519711255,2.1978434027943625,5.690196080028514
100.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,124.77541233379604,2.096129013713447,5.690196080028514
112.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,108.03561764730313,2.0335669591678123,5.690196080028514
125.0,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,92.49452580572641,1.9661160302231746,5.690196080028514
137.5,8,3,490000.0,plasticizer_modifier,10.0,reinforcement,10.0,80.0,0.0,79.9946298778608,1.9030608333332881,5.690196080028514
-12.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,232.29857879093106,2.366046552782825,5.690196080028514
0.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,217.0003913112255,2.336460517001307,5.690196080028514
12.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,200.0907509012646,2.301227014046606,5.690196080028514
25.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,172.3120249107055,2.2363155860384976,5.690196080028514
37.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,137.40352513133857,2.1379978748301527,5.690196080028514
50.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,103.23289678541936,2.0138181141106375,5.690196080028514
62.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,79.92594226910539,1.9026877649920297,5.690196080028514
75.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,64.68790848312736,1.8108231095742375,5.690196080028514
87.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,51.474077712744126,1.7115885738844485,5.690196080028514
100.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,46.25798233271445,1.6651866859166926,5.690196080028514
112.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,41.99935058988078,1.6232425752214308,5.690196080028514
125.0,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,40.79294640701356,1.610585074821736,5.690196080028514
137.5,8,4,490000.0,plasticizer_modifier,20.0,reinforcement,5.0,75.0,0.0,31.95763847838209,1.5045746794748696,5.690196080028514
-28.3333333333333,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,283.0923755302945,2.451928172757152,5.456366033129043
-17.4444444444444,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,294.9026095185002,2.4696786155306754,5.456366033129043
-6.24444444444444,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,292.99551875106505,2.4668609780450055,5.456366033129043
4.33333333333333,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,295.83917485705405,2.4710556824997654,5.456366033129043
15.5333333333333,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,301.9300065817859,2.4799062764722772,5.456366033129043
26.2666666666666,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,357.7130635039245,2.5535348006579786,5.456366033129043
37.9333333333333,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,296.11061785752116,2.4714539804870874,5.456366033129043
48.9777777777777,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,152.38977550468726,2.182955829268309,5.456366033129043
60.3333333333333,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,83.10206650138316,1.919611823531268,5.456366033129043
71.6888888888889,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,48.48973753759379,1.6856498333981969,5.456366033129043
82.8888888888888,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,36.04360083876542,1.5568281714937238,5.456366033129043
94.0888888888889,9,1,286000.0,not_applicable,0.0,not_applicable,0.0,22.9,77.1,27.553080271498846,1.4401701574577108,5.456366033129043
