temperature,study_id,instance,mw_phbv,additive1_type,additive1_percentage_wt,additive2_type,additive2_percentage_wt,hb_ratio_mol,hv_ratio_mol,storage_modulus,log_storage_modulus,log_mw
-25.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,6874.06855439642,3.8372138589981244,5.690196080028514
-12.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,6236.95976154992,3.7949729421602862,5.690196080028514
0.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,5275.70789865871,3.722280741856795,5.690196080028514
12.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,4359.16542473919,3.6394033502492067,5.690196080028514
25.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,3643.81520119225,3.561556343290647,5.690196080028514
37.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,3163.18926974664,3.5001251787469974,5.690196080028514
50.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,2682.56333830104,3.4285499849343135,5.690196080028514
62.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,2201.93740685544,3.342804969384301,5.690196080028514
75.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,1631.89269746646,3.212691599007143,5.690196080028514
87.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,1151.26676602086,3.0611759679278783,5.690196080028514
100.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,815.946348733234,2.911661603343164,5.690196080028514
112.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,558.86736214605,2.7473087475587263,5.690196080028514
125.0,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,402.384500745156,2.604641243989995,5.690196080028514
137.5,8,1,490000.0,plasticizers_and_flexibility_enhancers,10.0,no_additive,0.0,100.0,0.0,223.54694485842,2.349368738886689,5.690196080028514
-25.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,7522.35469448584,3.8763538074466846,5.690196080028514
-12.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,6762.29508196721,3.8300941178751766,5.690196080028514
0.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,5678.09239940387,3.754202455506627,5.690196080028514
12.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,4817.43666169895,3.682816013383439,5.690196080028514
25.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,4102.08643815201,3.613004807474797,5.690196080028514
37.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,3587.92846497764,3.5548437756275795,5.690196080028514
50.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,3040.23845007451,3.482907647256906,5.690196080028514
62.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,2369.59761549925,3.3746746041514584,5.690196080028514
75.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1732.48882265275,3.2386704413929976,5.690196080028514
87.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1274.21758569299,3.1052435945591785,5.690196080028514
100.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,961.251862891207,2.9828371944662755,5.690196080028514
112.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,760.059612518628,2.8808476559289438,5.690196080028514
125.0,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,581.222056631892,2.7643420868575066,5.690196080028514
137.5,8,2,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,424.739195230998,2.6281223398395177,5.690196080028514
-25.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,7622.95081967213,3.882123117879187,5.690196080028514
-12.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,7108.79284649776,3.8517958588711214,5.690196080028514
0.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,6315.20119225037,3.8003871910421463,5.690196080028514
12.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,5208.64381520119,3.7167246599127077,5.690196080028514
25.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,4415.0521609538,3.644935838849168,5.690196080028514
37.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,3856.18479880774,3.586157838295981,5.690196080028514
50.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,3375.55886736214,3.5283456861798577,5.690196080028514
62.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,2894.93293591654,3.4616385073039595,5.690196080028514
75.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,2302.53353204172,3.3622059635918595,5.690196080028514
87.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,1643.07004470938,3.215656077970882,5.690196080028514
100.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,1274.21758569299,3.1052435945591785,5.690196080028514
112.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,994.78390461997,2.997728749867621,5.690196080028514
125.0,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,793.591654247392,2.899597091941783,5.690196080028514
137.5,8,3,490000.0,plasticizers_and_flexibility_enhancers,10.0,reinforcment_and_stiffening_modifiers,10.0,100.0,0.0,558.86736214605,2.7473087475587263,5.690196080028514
-25.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,4046.1997019374,3.607047313755873,5.690196080028514
-12.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,3643.81520119225,3.561556343290647,5.690196080028514
0.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,3084.9478390462,3.4892478252879258,5.690196080028514
12.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,2604.32190760059,3.415694664248726,5.690196080028514
25.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,2257.82414307004,3.353690112669331,5.690196080028514
37.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1967.21311475409,3.2938514110368557,5.690196080028514
50.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1687.77943368107,3.227315690515877,5.690196080028514
62.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1430.70044709388,3.1555487128705733,5.690196080028514
75.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,1117.7347242921,3.0483387432227076,5.690196080028514
87.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,894.187779433681,2.9514287302146514,5.690196080028514
100.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,670.64083457526,2.826489993606351,5.690196080028514
112.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,536.512667660208,2.7295799805982948,5.690196080028514
125.0,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,357.675111773472,2.5534887215426134,5.690196080028514
137.5,8,4,490000.0,plasticizers_and_flexibility_enhancers,20.0,reinforcment_and_stiffening_modifiers,5.0,100.0,0.0,212.369597615499,2.3270923441755365,5.690196080028514
-40.0,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2779.45241429746,3.4439592430858803,5.456366033129043
-28.3333333333333,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2835.9127655067,3.452692867540029,5.456366033129043
-17.4444444444444,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2742.43805550999,3.438136826783114,5.456366033129043
-6.24444444444444,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2705.91662214531,3.432314410480348,5.456366033129043
4.33333333333333,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2616.72672370882,3.417758369723434,5.456366033129043
15.5333333333333,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,2303.80339981427,3.3624454148471608,5.456366033129043
26.2666666666666,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,1490.10504470237,3.1732168850072777,5.456366033129043
37.9333333333333,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,944.614767366805,2.9752547307132455,5.456366033129043
48.9777777777777,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,722.447686488805,2.858806404657933,5.456366033129043
60.3333333333333,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,586.893030196394,2.768558951965065,5.456366033129043
71.6888888888889,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,445.860930199354,2.649199417758369,5.456366033129043
82.8888888888888,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,321.033400009829,2.5065502183406103,5.456366033129043
94.0888888888889,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,239.032558322707,2.378457059679765,5.456366033129043
105.755555555555,9,1,286000.0,no_additive,0.0,no_additive,0.0,22.9,77.1,174.433653263917,2.2416302765647744,5.456366033129043
-40.0,9,2,286000.0,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,22.9,77.1,3444.43428893106,3.5371179039301306,5.456366033129043
-28.3333333333333,9,2,286000.0,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,22.9,77.1,3375.85884752976,3.528384279475982,5.456366033129043
-17.4444444444444,9,2,286000.0,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,22.9,77.1,3375.85884752976,3.528384279475982,5.456366033129043
-6.24444444444444,9,2,286000.0,reinforcment_and_stiffening_modifiers,1.0,no_additive,0.0,22.9,77.1,3286.54396907746,3.5167394468704503,5.456366033129043
